image_src,title,price,deal,shop,location
//g-search1.alicdn.com/img/bao/uploaded/i4/i1/3170729146/O1CN01Ofyiyh2HQuvE8GV1K_!!0-item_pic.jpg,"【预售】MAC/魅可全色号子弹头
口红
唇膏 cockney/lady bug","¥
170.00",167707人付款,mac魅可官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i4/3570503317/O1CN01slRSXl1aNEFt8JFzM_!!0-item_pic.jpg,"【超品预售】纪梵希小羊皮
口红
半哑光唇膏女 306番茄红 官方正品","¥
355.00",21114人付款,givenchy纪梵希官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2943025980/O1CN01p2A5471u2sydSBjMs_!!0-item_pic.jpg,"【情人节】娇兰亲亲系列唇膏 杨洋色 #344
口红
保湿滋润","¥
320.00",3809人付款,guerlain娇兰官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2943025980/O1CN01JguRHd1u2sykAERW9_!!0-item_pic.jpg,"【情人节】娇兰臻彩宝石唇膏 高定镜面钻石
口红
哑光 滋润#91#214","¥
280.00",13900人付款,guerlain娇兰官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i3/2914096567/O1CN018hvhyH1yNjSkuZxN1_!!0-item_pic.jpg,"Sephora/丝芙兰染唇膏不易脱色
口红
染唇液唇膏唇彩釉","¥
95.00",28018人付款,sephora丝芙兰官方旗舰店,上海
//g-search3.alicdn.com/img/bao/uploaded/i4/i1/2914096567/O1CN01n9MXAO1yNjSYv5aJ7-2914096567.jpg,"Givenchy/纪梵希高定香榭天鹅绒唇膏小羊皮
口红
304","¥
355.00",3145人付款,sephora丝芙兰官方旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2064892827/O1CN01EkhNa81WkoBJsXevm_!!0-item_pic.jpg,"雅诗兰黛唇膏
口红
恋爱唇膏 保湿滋润 防水不脱色","¥
230.00",3250人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2064892827/O1CN01AkYln11WkoAtBhST0_!!0-item_pic.jpg,"雅诗兰黛
口红
唇釉 倾慕液体唇膏 滋润保湿 防水不沾杯 307 303","¥
270.00",3596人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2064892827/O1CN01yO9KJ71WkoBMEcraH_!!2-item_pic.png,"雅诗兰黛
口红
420倾慕唇膏 保湿滋润防水不脱色玫瑰豆沙色顺丰免邮","¥
270.00",23380人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search1.alicdn.com/img/bao/uploaded/i4/i2/2064892827/O1CN01OvWklh1WkoBJ6qmj5_!!0-item_pic.jpg,"雅诗兰黛
口红
333 倾慕哑光唇膏保湿防水干枫叶色杨幂同款顺丰免邮","¥
270.00",30632人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search1.alicdn.com/img/bao/uploaded/i4/i4/2064892827/O1CN01kF0NQM1WkoBCUW3d1_!!0-item_pic.jpg,"雅诗兰黛
口红
绝色魅惑金管唇膏 保湿不脱色 滋润显色 305红梨色","¥
320.00",12808人付款,雅诗兰黛官方旗舰店,浙江 杭州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/533497499/O1CN01BGGBsi25GaapBDzPa_!!0-item_pic.jpg,"欧莱雅彩妆纷泽
口红
滋润唇膏持久保湿不脱色防水豆沙色学生正品","¥
125.00",16976人付款,欧莱雅官方旗舰店,上海
//g-search1.alicdn.com/img/bao/uploaded/i4/i3/533497499/O1CN012cO3ss25GaZZ9OhLY_!!0-item_pic.jpg,"欧莱雅黑管纷泽
口红
女丰润雾感唇膏哑光持久滋润唇彩学生款正品","¥
135.00",7736人付款,欧莱雅官方旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i2/776151038/O1CN01GaLMF11JXRcWt2my8_!!0-item_pic.jpg,"稚优泉
口红
哑光唇膏持久保湿防水不易脱色豆沙色姨妈学生女","¥
59.90",59382人付款,稚优泉化妆品旗舰店,上海
//g-search2.alicdn.com/img/bao/uploaded/i4/i4/3527212490/O1CN01BV4Bnd1UGShuPuabo_!!0-item_pic.jpg,"【正品】阿玛尼黑管漆光唇釉 滋润保湿锦鲤色斩男色
口红
500/302","¥
310.00",3994人付款,阿玛尼美妆官方旗舰店,江苏 苏州
//g-search3.alicdn.com/img/bao/uploaded/i4/i2/3527212490/O1CN017ycLqe1UGShuQ22fP_!!0-item_pic.jpg,"阿玛尼挚爱哑光唇膏
口红
正品 雾面哑光 润泽 姨妈色201/400","¥
320.00",8531人付款,阿玛尼美妆官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i4/3527212490/O1CN01XCftEI1UGShuQ0piV_!!0-item_pic.jpg,"【正品】阿玛尼红管丝绒哑光唇釉 豆沙色烂番茄色
口红
405/400","¥
310.00",10279人付款,阿玛尼美妆官方旗舰店,江苏 苏州
//g-search2.alicdn.com/img/bao/uploaded/i4/i3/3527212490/O1CN010eBvU71UGShuQ1NAG_!!0-item_pic.jpg,"阿玛尼黑管唇釉 滋润保湿 正品
口红
星辰锦鲤色斩男色500/302","¥
310.00",16223人付款,阿玛尼美妆官方旗舰店,江苏 苏州
